75.884	84.8	0.0
85.244	85.491	0.0
77.066	88.652	0.0
5.574	26.892	1.0
86.578	67.525	0.0
33.884	5.563	1.0
90.282	76.914	0.0
15.533	20.364	1.0
19.661	24.549	1.0
90.72	91.706	0.0
74.533	82.872	0.0
38.442	28.235	1.0
37.927	35.516	1.0
70.512	75.095	0.0
21.43	0.462	1.0
2.117	22.474	1.0
16.953	13.728	1.0
34.96	32.813	1.0
16.022	25.633	1.0
32.089	39.21	1.0
81.994	66.318	0.0
39.192	33.907	1.0
34.087	31.271	1.0
88.039	82.513	0.0
21.286	36.038	1.0
13.059	28.675	1.0
75.556	97.858	0.0
19.701	34.756	1.0
37.157	16.693	1.0
66.597	91.577	0.0
30.004	29.905	1.0
4.413	11.044	1.0
80.327	80.823	0.0
62.075	64.584	0.0
17.184	15.212	1.0
77.31	85.842	0.0
32.288	28.39	1.0
26.378	11.744	1.0
95.319	89.32	0.0
89.148	78.037	0.0
15.379	30.07	1.0
8.02	33.183	1.0
34.48	0.328	1.0
27.431	33.553	1.0
70.296	76.411	0.0
96.299	94.018	0.0
15.592	33.862	1.0
72.031	81.939	0.0
6.708	16.902	1.0
8.532	9.557	1.0
23.125	31.888	1.0
9.199	36.699	1.0
37.691	26.143	1.0
23.099	22.402	1.0
83.268	90.124	0.0
27.792	28.276	1.0
82.096	68.433	0.0
62.23	83.798	0.0
72.688	98.142	0.0
97.288	78.005	0.0
97.007	62.644	0.0
60.202	74.783	0.0
95.897	94.937	0.0
